
GET / - [09/Jan/2025:18:36:05 +0000] - - ms localhost
GET /@vite/client 304 [09/Jan/2025:18:36:05 +0000] - 6.386 ms localhost
GET /styles.css 200 [09/Jan/2025:18:36:05 +0000] - 8.162 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:36:05 +0000] - 9.007 ms localhost
GET /main.js 200 [09/Jan/2025:18:36:05 +0000] - 14.192 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:36:05 +0000] - 3.412 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:36:05 +0000] - 3.049 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:36:05 +0000] - 12.100 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:36:05 +0000] - 18.319 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:36:05 +0000] - 20.029 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:36:05 +0000] - 23.159 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:36:05 +0000] - 41.034 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:36:05 +0000] - 175.400 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:36:05 +0000] - 165.281 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:36:05 +0000] - 161.939 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:36:05 +0000] - 163.436 ms localhost
GET /services/login.component.css.map 404 [09/Jan/2025:18:36:05 +0000] - 24.397 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:36:05 +0000] - 184.239 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:36:05 +0000] - 166.101 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:36:05 +0000] - 102.998 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:36:06 +0000] - 4.436 ms localhost
