GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [07/Jan/2025:18:48:00 +0000] - 133.520 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [07/Jan/2025:18:48:00 +0000] - 57.583 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [07/Jan/2025:18:48:01 +0000] - 554.313 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:48:01 +0000] - 458.843 ms localhost
GET /login.component.css.map 200 [07/Jan/2025:18:48:01 +0000] - 209.043 ms localhost
GET /favicon.ico 304 [07/Jan/2025:18:48:01 +0000] - 12.918 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [07/Jan/2025:18:48:01 +0000] - 301.395 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [07/Jan/2025:18:48:01 +0000] - 220.032 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [07/Jan/2025:18:48:01 +0000] - 253.642 ms localhost
POST /user/login 200 [07/Jan/2025:18:48:10 +0000] - 624.065 ms localhost
GET /dashboard.component.css.map 200 [07/Jan/2025:18:48:10 +0000] - 3.911 ms localhost
GET /layout.component.css.map 200 [07/Jan/2025:18:48:10 +0000] - 4.824 ms localhost
GET /user-services.component.css.map 200 [07/Jan/2025:18:48:13 +0000] - 6.864 ms localhost
GET /service/uploads/ 400 [07/Jan/2025:18:48:13 +0000] - 249.819 ms localhost
GET /service/services?isApproved=true 304 [07/Jan/2025:18:48:14 +0000] - 366.548 ms localhost
GET /service/name/Catering 304 [07/Jan/2025:18:48:16 +0000] - 68.432 ms localhost
GET /user-service-details.component.css.map 200 [07/Jan/2025:18:48:16 +0000] - 2.729 ms localhost
GET /services/details 200 [07/Jan/2025:18:48:44 +0000] - 7.600 ms localhost
GET / - [07/Jan/2025:18:48:44 +0000] - - ms localhost
GET /@vite/client 304 [07/Jan/2025:18:48:44 +0000] - 3.797 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:48:44 +0000] - 3.049 ms localhost
GET /styles.css 200 [07/Jan/2025:18:48:44 +0000] - 5.245 ms localhost
GET /main.js 200 [07/Jan/2025:18:48:44 +0000] - 11.287 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:48:44 +0000] - 3.347 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:48:44 +0000] - 6.159 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [07/Jan/2025:18:48:44 +0000] - 30.928 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:48:44 +0000] - 41.277 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [07/Jan/2025:18:48:44 +0000] - 39.601 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [07/Jan/2025:18:48:44 +0000] - 112.224 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:48:44 +0000] - 201.097 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [07/Jan/2025:18:48:44 +0000] - 279.718 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:48:45 +0000] - 327.840 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [07/Jan/2025:18:48:45 +0000] - 395.978 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [07/Jan/2025:18:48:45 +0000] - 399.052 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [07/Jan/2025:18:48:45 +0000] - 391.789 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [07/Jan/2025:18:48:45 +0000] - 365.589 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:48:45 +0000] - 420.367 ms localhost
GET /favicon.ico 304 [07/Jan/2025:18:48:45 +0000] - 14.066 ms localhost
GET /services/login.component.css.map 404 [07/Jan/2025:18:48:45 +0000] - 137.091 ms localhost
POST /user/login 200 [07/Jan/2025:18:48:49 +0000] - 151.096 ms localhost
GET /services/dashboard.component.css.map 404 [07/Jan/2025:18:48:49 +0000] - 3.678 ms localhost
GET /services/layout.component.css.map 404 [07/Jan/2025:18:48:49 +0000] - 4.212 ms localhost
GET /services/user-services.component.css.map 404 [07/Jan/2025:18:48:52 +0000] - 12.632 ms localhost
GET /service/services?isApproved=true 304 [07/Jan/2025:18:48:52 +0000] - 80.195 ms localhost
GET /service/uploads/ 400 [07/Jan/2025:18:48:52 +0000] - 67.216 ms localhost
GET /service/name/Decor 304 [07/Jan/2025:18:48:55 +0000] - 50.175 ms localhost
GET /services/user-service-details.component.css.map 404 [07/Jan/2025:18:48:55 +0000] - 5.728 ms localhost
GET /services/user-events.component.css.map 404 [07/Jan/2025:18:49:02 +0000] - 13.465 ms localhost
GET /services/user-services.component.css.map 404 [07/Jan/2025:18:49:04 +0000] - 3.230 ms localhost
GET /service/services?isApproved=true 304 [07/Jan/2025:18:49:04 +0000] - 60.457 ms localhost
GET /service/uploads/ 400 [07/Jan/2025:18:49:04 +0000] - 42.761 ms localhost
GET /service/name/Decor 304 [07/Jan/2025:18:49:06 +0000] - 44.767 ms localhost
GET /services/user-service-details.component.css.map 404 [07/Jan/2025:18:49:06 +0000] - 7.808 ms localhost
GET / - [07/Jan/2025:18:52:44 +0000] - - ms localhost
GET /services/details 200 [07/Jan/2025:18:53:17 +0000] - 26.474 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:53:17 +0000] - 2.982 ms localhost
GET /styles.css 200 [07/Jan/2025:18:53:17 +0000] - 10.271 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:53:18 +0000] - 3.315 ms localhost
GET /main.js 200 [07/Jan/2025:18:53:18 +0000] - 11.227 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:53:18 +0000] - 3.133 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:53:19 +0000] - 7.509 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:53:19 +0000] - 8.132 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:53:19 +0000] - 15.252 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [07/Jan/2025:18:53:19 +0000] - 20.785 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:53:19 +0000] - 19.438 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [07/Jan/2025:18:53:19 +0000] - 114.636 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [07/Jan/2025:18:53:19 +0000] - 100.608 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [07/Jan/2025:18:53:19 +0000] - 88.938 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [07/Jan/2025:18:53:19 +0000] - 62.377 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [07/Jan/2025:18:53:19 +0000] - 108.913 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [07/Jan/2025:18:53:19 +0000] - 96.259 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [07/Jan/2025:18:53:19 +0000] - 34.370 ms localhost
GET /services/login.component.css.map 404 [07/Jan/2025:18:53:20 +0000] - 5.818 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:53:20 +0000] - 9.528 ms localhost
GET /favicon.ico 304 [07/Jan/2025:18:53:20 +0000] - 4.469 ms localhost
GET /login 200 [07/Jan/2025:18:53:33 +0000] - 7.875 ms localhost
GET / - [07/Jan/2025:18:53:33 +0000] - - ms localhost
GET /styles.css 200 [07/Jan/2025:18:53:33 +0000] - 6.504 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:53:33 +0000] - 8.479 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:53:33 +0000] - 6.596 ms localhost
GET /main.js 304 [07/Jan/2025:18:53:33 +0000] - 6.748 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:53:33 +0000] - 10.350 ms localhost
