GET /styles.css 200 [21/Feb/2025:18:52:24 +0000] - 9.813 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:52:25 +0000] - 10.793 ms localhost
GET /main.js 200 [21/Feb/2025:18:52:25 +0000] - 10.697 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:52:25 +0000] - 8.222 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:52:25 +0000] - 39.642 ms localhost
GET /chunk-ZVXQP2MQ.js 304 [21/Feb/2025:18:52:25 +0000] - 9.118 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:52:25 +0000] - 10.122 ms localhost
GET /chunk-ADP4JBOJ.js 304 [21/Feb/2025:18:52:26 +0000] - 3.785 ms localhost
GET /chunk-IISVICFO.js 304 [21/Feb/2025:18:52:26 +0000] - 2.866 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:52:28 +0000] - 11.330 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:52:28 +0000] - 11.490 ms localhost
GET /chunk-MQDO5BT4.js 304 [21/Feb/2025:18:52:28 +0000] - 6.100 ms localhost
GET /chunk-F64TRUFE.js 304 [21/Feb/2025:18:52:28 +0000] - 2.415 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [21/Feb/2025:18:52:28 +0000] - 9.321 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [21/Feb/2025:18:52:28 +0000] - 32.967 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [21/Feb/2025:18:52:28 +0000] - 313.050 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [21/Feb/2025:18:52:28 +0000] - 302.886 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [21/Feb/2025:18:52:28 +0000] - 314.494 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [21/Feb/2025:18:52:28 +0000] - 375.530 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [21/Feb/2025:18:52:28 +0000] - 369.033 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [21/Feb/2025:18:52:28 +0000] - 370.335 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [21/Feb/2025:18:52:28 +0000] - 115.831 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [21/Feb/2025:18:52:28 +0000] - 109.736 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [21/Feb/2025:18:52:28 +0000] - 112.844 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [21/Feb/2025:18:52:28 +0000] - 50.007 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [21/Feb/2025:18:52:28 +0000] - 12.845 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [21/Feb/2025:18:52:28 +0000] - 14.255 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/emoji-picker-element.js.map 304 [21/Feb/2025:18:52:28 +0000] - 15.314 ms localhost
GET /favicon.ico 304 [21/Feb/2025:18:52:28 +0000] - 4.111 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [21/Feb/2025:18:52:29 +0000] - 21.621 ms localhost
GET /login.component.css.map 200 [21/Feb/2025:18:52:29 +0000] - 3.973 ms localhost
GET /login 200 [21/Feb/2025:18:54:12 +0000] - 34.436 ms localhost
GET / - [21/Feb/2025:18:54:12 +0000] - - ms localhost
GET /@vite/client 304 [21/Feb/2025:18:54:12 +0000] - 9.579 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:54:12 +0000] - 4.390 ms localhost
GET /styles.css 200 [21/Feb/2025:18:54:12 +0000] - 12.479 ms localhost
GET /main.js 200 [21/Feb/2025:18:54:12 +0000] - 12.686 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:54:12 +0000] - 13.326 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:54:13 +0000] - 3.736 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:54:13 +0000] - 10.421 ms localhost
GET /chunk-ZVXQP2MQ.js 304 [21/Feb/2025:18:54:13 +0000] - 15.227 ms localhost
GET /chunk-ADP4JBOJ.js 304 [21/Feb/2025:18:54:13 +0000] - 23.108 ms localhost
GET /chunk-IISVICFO.js 304 [21/Feb/2025:18:54:13 +0000] - 4.369 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [21/Feb/2025:18:54:13 +0000] - 19.418 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [21/Feb/2025:18:54:13 +0000] - 103.268 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:54:13 +0000] - 43.480 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [21/Feb/2025:18:54:13 +0000] - 137.063 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [21/Feb/2025:18:54:13 +0000] - 153.979 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [21/Feb/2025:18:54:13 +0000] - 126.108 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:54:13 +0000] - 6.848 ms localhost
GET /chunk-MQDO5BT4.js 304 [21/Feb/2025:18:54:13 +0000] - 7.023 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [21/Feb/2025:18:54:13 +0000] - 385.674 ms localhost
GET /chunk-F64TRUFE.js 304 [21/Feb/2025:18:54:13 +0000] - 179.799 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [21/Feb/2025:18:54:14 +0000] - 491.151 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [21/Feb/2025:18:54:14 +0000] - 300.077 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [21/Feb/2025:18:54:14 +0000] - 285.867 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [21/Feb/2025:18:54:14 +0000] - 138.619 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [21/Feb/2025:18:54:14 +0000] - 296.631 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [21/Feb/2025:18:54:14 +0000] - 19.703 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [21/Feb/2025:18:54:14 +0000] - 31.649 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [21/Feb/2025:18:54:14 +0000] - 13.450 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/emoji-picker-element.js.map 304 [21/Feb/2025:18:54:14 +0000] - 12.877 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [21/Feb/2025:18:54:14 +0000] - 5.850 ms localhost
GET /login.component.css.map 200 [21/Feb/2025:18:54:14 +0000] - 3.678 ms localhost
GET /favicon.ico 304 [21/Feb/2025:18:54:14 +0000] - 7.525 ms localhost
POST /api/user/login 200 [21/Feb/2025:18:54:20 +0000] - 507.721 ms localhost
GET /chunk-XNW6GHKL.js 200 [21/Feb/2025:18:54:20 +0000] - 4.865 ms localhost
GET /chunk-I7XG3ZFI.js 200 [21/Feb/2025:18:54:20 +0000] - 10.863 ms localhost
GET /chunk-ROM2O2GL.js 200 [21/Feb/2025:18:54:20 +0000] - 8.119 ms localhost
GET /layout.component.css.map 200 [21/Feb/2025:18:54:20 +0000] - 5.777 ms localhost
GET /dashboard.component.css.map 200 [21/Feb/2025:18:54:20 +0000] - 7.243 ms localhost
GET /chunk-YLEFLOKZ.js 200 [21/Feb/2025:18:54:24 +0000] - 9.351 ms localhost
GET /chunk-I7IG5VFA.js 200 [21/Feb/2025:18:54:24 +0000] - 2.526 ms localhost
GET /api/booking/user/674e8a6920bc39246157f503 304 [21/Feb/2025:18:54:25 +0000] - 880.128 ms localhost
POST /api/booking/confirm 200 [21/Feb/2025:18:54:29 +0000] - 1284.740 ms localhost
POST /api/booking/verifyPayment 500 [21/Feb/2025:18:55:15 +0000] - 82.076 ms localhost
GET /favourites 200 [21/Feb/2025:18:57:48 +0000] - 36.712 ms localhost
GET / - [21/Feb/2025:18:57:48 +0000] - - ms localhost
GET /@vite/client 304 [21/Feb/2025:18:57:48 +0000] - 9.368 ms localhost
