GET /chunk-ULRPEUP5.js 200 [18/Apr/2025:19:28:18 +0000] - 45.952 ms localhost
GET /chunk-D3RU6VCD.js 200 [18/Apr/2025:19:28:18 +0000] - 9.982 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/bootstrap.js?v=ffa03c27 200 [18/Apr/2025:19:28:18 +0000] - 35.663 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common.js?v=ffa03c27 200 [18/Apr/2025:19:28:18 +0000] - 37.912 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chart__js.js?v=ffa03c27 200 [18/Apr/2025:19:28:18 +0000] - 38.621 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/bootstrap.js.map 200 [18/Apr/2025:19:28:18 +0000] - 54.487 ms localhost
GET /dashboard.component.css.map 200 [18/Apr/2025:19:28:19 +0000] - 30.390 ms localhost
GET /layout.component.css.map 200 [18/Apr/2025:19:28:19 +0000] - 27.785 ms localhost
GET /user-dashboard.component.css.map 200 [18/Apr/2025:19:28:19 +0000] - 30.254 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common.js.map 200 [18/Apr/2025:19:28:19 +0000] - 83.285 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chart__js.js.map 200 [18/Apr/2025:19:28:19 +0000] - 78.096 ms localhost
GET /chunk-SY75KSFI.js 200 [18/Apr/2025:19:28:24 +0000] - 25.237 ms localhost
GET /user-chat.component.css.map 200 [18/Apr/2025:19:28:25 +0000] - 10.987 ms localhost
GET /api/chat/674e8a6920bc39246157f503 200 [18/Apr/2025:19:28:28 +0000] - 575.190 ms localhost
POST /api/chat/upload 500 [18/Apr/2025:19:28:38 +0000] - 150.457 ms localhost
GET /chat 200 [18/Apr/2025:19:29:48 +0000] - 40.909 ms localhost
GET /@vite/client 200 [18/Apr/2025:19:29:49 +0000] - 220.164 ms localhost
GET /styles.css 200 [18/Apr/2025:19:29:49 +0000] - 217.752 ms localhost
GET /main.js 200 [18/Apr/2025:19:29:49 +0000] - 132.950 ms localhost
GET /polyfills.js 200 [18/Apr/2025:19:29:49 +0000] - 36.689 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 200 [18/Apr/2025:19:29:49 +0000] - 25.861 ms localhost
GET /scripts.js 200 [18/Apr/2025:19:29:49 +0000] - 28.710 ms localhost
GET /chunk-JK2OZDZD.js 200 [18/Apr/2025:19:29:49 +0000] - 30.104 ms localhost
GET /chunk-JSSMBHFL.js 200 [18/Apr/2025:19:29:50 +0000] - 37.244 ms localhost
GET /chunk-DS2VOW6E.js 200 [18/Apr/2025:19:29:50 +0000] - 40.780 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_platform-browser.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 44.220 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_core.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 53.898 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_router.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 53.588 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common_http.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 6.096 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/rxjs.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 16.205 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/ngx-socket-io.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 64.152 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_forms.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 42.625 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/emoji-picker-element.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 48.059 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-TI4NIV3R.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 59.470 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KHJLBV7G.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 13.690 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-UWVBNKXZ.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 10.684 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KPU55VW5.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 25.542 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-P6U2JBMQ.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 42.455 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-XWLXMCJQ.js?v=ffa03c27 200 [18/Apr/2025:19:29:50 +0000] - 37.009 ms localhost
GET /styles.css.map 200 [18/Apr/2025:19:29:50 +0000] - 38.248 ms localhost
GET /chunk-XVYBADGO.js 200 [18/Apr/2025:19:29:51 +0000] - 58.884 ms localhost
