GET /otp/672fa8abb6da377b761a20dc 200 [23/Nov/2024:10:38:59 +0000] - 19.642 ms localhost
GET /styles.css 200 [23/Nov/2024:10:38:59 +0000] - 5.804 ms localhost
GET /@vite/client 304 [23/Nov/2024:10:38:59 +0000] - 12.931 ms localhost
GET /polyfills.js 304 [23/Nov/2024:10:38:59 +0000] - 11.481 ms localhost
GET /main.js 304 [23/Nov/2024:10:38:59 +0000] - 8.080 ms localhost
GET /styles.css.map 200 [23/Nov/2024:10:38:59 +0000] - 6.982 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:10:38:59 +0000] - 6.098 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:10:38:59 +0000] - 6.673 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:10:38:59 +0000] - 33.540 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:10:38:59 +0000] - 37.076 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:10:38:59 +0000] - 42.622 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:10:38:59 +0000] - 39.811 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:10:39:00 +0000] - 205.854 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:10:39:00 +0000] - 181.486 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:10:39:00 +0000] - 109.453 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:10:39:00 +0000] - 144.222 ms localhost
GET /favicon.ico 304 [23/Nov/2024:10:39:00 +0000] - 6.049 ms localhost
POST /user/verifyOtp 404 [23/Nov/2024:10:39:13 +0000] - 47.361 ms localhost
GET / - [23/Nov/2024:10:42:59 +0000] - - ms localhost
GET /otp/672fa8abb6da377b761a20dc 200 [23/Nov/2024:12:35:45 +0000] - 80.188 ms localhost
GET /@vite/client 304 [23/Nov/2024:12:35:46 +0000] - 8.113 ms localhost
GET /styles.css 200 [23/Nov/2024:12:35:46 +0000] - 9.372 ms localhost
GET /polyfills.js 304 [23/Nov/2024:12:35:46 +0000] - 2.615 ms localhost
GET /main.js 200 [23/Nov/2024:12:35:46 +0000] - 6.216 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:12:35:46 +0000] - 2.604 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:12:35:48 +0000] - 42.988 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:12:35:48 +0000] - 46.751 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:12:35:48 +0000] - 46.999 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:12:35:48 +0000] - 44.242 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:12:35:48 +0000] - 256.239 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:12:35:48 +0000] - 189.097 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:12:35:48 +0000] - 269.060 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:12:35:48 +0000] - 223.989 ms localhost
