GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [25/Jan/2025:12:25:16 +0000] - 200.161 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [25/Jan/2025:12:25:16 +0000] - 203.643 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [25/Jan/2025:12:25:16 +0000] - 221.215 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [25/Jan/2025:12:25:17 +0000] - 136.875 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [25/Jan/2025:12:25:17 +0000] - 252.385 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [25/Jan/2025:12:25:17 +0000] - 1285.050 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [25/Jan/2025:12:25:18 +0000] - 1115.415 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [25/Jan/2025:12:25:18 +0000] - 1057.244 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [25/Jan/2025:12:25:19 +0000] - 2701.800 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [25/Jan/2025:12:25:19 +0000] - 2754.057 ms localhost
